[es_inverted_double_pendulum_s0] env=inverted_double_pendulum backend=generalized D=4801 P=128 bins=0 obs=8 act=1 budget=10,000,000
  it     2 steps       9,177 eval    507.35 pop    381.31 len   41.5 cap   64 trunc   5%     0.2k sps
  it     4 steps      22,782 eval    476.85 pop    510.71 len   55.3 cap  128 trunc   1%     0.3k sps
  it     6 steps      36,294 eval    478.24 pop    491.22 len   53.2 cap  128 trunc   0%     0.3k sps
  it     8 steps      51,638 eval    605.36 pop    572.60 len   62.2 cap  128 trunc   0%     0.3k sps
  it    10 steps      66,351 eval    491.12 pop    489.78 len   53.7 cap  128 trunc   0%     0.4k sps
  it    12 steps      80,487 eval    553.68 pop    527.21 len   57.8 cap  128 trunc   0%     0.4k sps
  it    14 steps      97,060 eval    697.55 pop    626.01 len   68.3 cap  128 trunc   0%     0.4k sps
  it    16 steps     114,737 eval    598.53 pop    624.16 len   67.7 cap  256 trunc   0%     0.4k sps
  it    18 steps     131,272 eval    680.23 pop    596.85 len   64.6 cap  256 trunc   0%     0.4k sps
  it    20 steps     149,204 eval    750.37 pop    641.46 len   69.6 cap  256 trunc   0%     0.4k sps
  it    22 steps     168,539 eval    828.80 pop    707.29 len   77.0 cap  256 trunc   0%     0.4k sps
  it    24 steps     189,358 eval    771.55 pop    776.34 len   84.7 cap  256 trunc   0%     0.4k sps
  it    26 steps     210,017 eval    748.73 pop    736.52 len   80.4 cap  256 trunc   0%     0.4k sps
  it    28 steps     231,285 eval    882.90 pop    776.85 len   84.8 cap  256 trunc   0%     0.4k sps
  it    30 steps     254,024 eval    888.29 pop    829.54 len   90.5 cap  256 trunc   0%     0.4k sps
  it    32 steps     276,866 eval    896.11 pop    805.42 len   87.8 cap  256 trunc   0%     0.4k sps
  it    34 steps     300,367 eval    935.70 pop    839.71 len   91.5 cap  256 trunc   0%     0.4k sps
  it    36 steps     325,107 eval    914.40 pop    857.66 len   93.5 cap  256 trunc   0%     0.5k sps
  it    38 steps     348,863 eval    907.16 pop    841.81 len   91.7 cap  256 trunc   0%     0.5k sps
  it    40 steps     373,297 eval    954.72 pop    884.68 len   96.4 cap  256 trunc   0%     0.5k sps
  it    42 steps     399,150 eval    992.14 pop    933.00 len  101.7 cap  256 trunc   0%     0.5k sps
  it    44 steps     425,157 eval   1004.93 pop    927.09 len  101.0 cap  256 trunc   0%     0.5k sps
  it    46 steps     451,086 eval   1047.59 pop    948.96 len  103.4 cap  256 trunc   0%     0.5k sps
  it    48 steps     478,204 eval   1075.14 pop    977.66 len  106.4 cap  256 trunc   0%     0.5k sps
  it    50 steps     504,939 eval   1070.33 pop    973.29 len  106.0 cap  256 trunc   0%     0.5k sps
  it    52 steps     532,852 eval   1065.62 pop   1007.35 len  109.8 cap  256 trunc   0%     0.5k sps
  it    54 steps     562,096 eval   1105.70 pop   1048.93 len  114.4 cap  256 trunc   1%     0.5k sps
  it    56 steps     591,651 eval   1145.09 pop   1039.40 len  113.5 cap  256 trunc   0%     0.5k sps
  it    58 steps     620,657 eval   1161.03 pop   1040.42 len  113.6 cap  256 trunc   0%     0.5k sps
  it    60 steps     649,747 eval   1169.58 pop   1053.30 len  115.0 cap  256 trunc   0%     0.5k sps
  it    62 steps     679,265 eval   1161.85 pop   1071.71 len  116.9 cap  256 trunc   1%     0.5k sps
  it    64 steps     709,798 eval   1200.48 pop   1099.30 len  119.9 cap  256 trunc   0%     0.6k sps
  it    66 steps     740,595 eval   1279.11 pop   1102.11 len  120.3 cap  256 trunc   0%     0.6k sps
  it    68 steps     772,708 eval   1319.47 pop   1146.25 len  125.4 cap  256 trunc   0%     0.6k sps
  it    70 steps     805,037 eval   1328.56 pop   1160.23 len  127.0 cap  256 trunc   0%     0.6k sps
  it    72 steps     838,398 eval   1400.15 pop   1200.01 len  131.3 cap  512 trunc   0%     0.6k sps
  it    74 steps     871,434 eval   1479.88 pop   1162.09 len  127.1 cap  512 trunc   0%     0.6k sps
  it    76 steps     905,823 eval   1527.69 pop   1232.11 len  135.0 cap  512 trunc   0%     0.6k sps
  it    78 steps     941,735 eval   1487.86 pop   1325.45 len  145.5 cap  512 trunc   0%     0.6k sps
  it    80 steps     978,765 eval   1646.43 pop   1329.79 len  145.8 cap  512 trunc   0%     0.6k sps
  it    82 steps   1,015,138 eval   1679.10 pop   1282.28 len  140.6 cap  512 trunc   0%     0.6k sps
  it    84 steps   1,053,967 eval   1858.90 pop   1408.42 len  154.5 cap  512 trunc   0%     0.6k sps
