[es_inverted_double_pendulum_s1] env=inverted_double_pendulum backend=generalized D=4801 P=128 bins=0 obs=8 act=1 budget=10,000,000
  it     2 steps      11,244 eval    616.60 pop    508.77 len   55.4 cap  128 trunc   0%     0.2k sps
  it     4 steps      28,983 eval    925.22 pop    683.64 len   74.5 cap  256 trunc   0%     0.3k sps
  it     6 steps      50,980 eval    931.96 pop    808.19 len   88.0 cap  256 trunc   0%     0.4k sps
  it     8 steps      75,579 eval    964.71 pop    902.99 len   98.4 cap  256 trunc   0%     0.4k sps
  it    10 steps     102,314 eval   1045.15 pop    979.32 len  106.8 cap  256 trunc   0%     0.5k sps
  it    12 steps     130,741 eval   1064.71 pop   1012.91 len  110.7 cap  256 trunc   0%     0.5k sps
  it    14 steps     159,245 eval   1155.41 pop   1033.48 len  113.1 cap  256 trunc   0%     0.5k sps
  it    16 steps     190,306 eval   1194.98 pop   1113.88 len  121.8 cap  256 trunc   0%     0.6k sps
  it    18 steps     221,635 eval   1174.10 pop   1123.05 len  122.7 cap  256 trunc   0%     0.6k sps
  it    20 steps     252,827 eval   1236.22 pop   1117.77 len  122.0 cap  256 trunc   0%     0.6k sps
  it    22 steps     286,601 eval   1273.11 pop   1224.31 len  134.0 cap  512 trunc   0%     0.6k sps
  it    24 steps     320,427 eval   1285.96 pop   1230.43 len  134.9 cap  512 trunc   0%     0.6k sps
  it    26 steps     354,291 eval   1330.67 pop   1252.70 len  137.5 cap  256 trunc   0%     0.6k sps
  it    28 steps     389,032 eval   1397.08 pop   1244.24 len  136.3 cap  512 trunc   0%     0.6k sps
  it    30 steps     424,598 eval   1383.84 pop   1258.74 len  137.5 cap  512 trunc   0%     0.6k sps
  it    32 steps     460,279 eval   1482.65 pop   1289.23 len  140.9 cap  512 trunc   0%     0.6k sps
  it    34 steps     496,650 eval       nan pop   1285.11 len  141.0 cap  512 trunc   0%     0.6k sps
  it    36 steps     532,579 eval   1493.30 pop   1296.82 len  142.5 cap  512 trunc   0%     0.6k sps
  it    38 steps     570,427 eval   1621.35 pop   1338.35 len  146.9 cap  512 trunc   0%     0.6k sps
  it    40 steps     608,260 eval   1611.58 pop   1349.96 len  147.7 cap  512 trunc   0%     0.6k sps
  it    42 steps     647,404 eval   1702.40 pop   1392.91 len  152.6 cap  512 trunc   0%     0.6k sps
  it    44 steps     687,319 eval   1488.61 pop   1433.12 len  157.5 cap  512 trunc   0%     0.6k sps
  it    46 steps     726,774 eval   1591.00 pop   1389.82 len  153.0 cap  512 trunc   0%     0.6k sps
  it    48 steps     767,932 eval   1972.75 pop   1482.62 len  162.9 cap  512 trunc   0%     0.7k sps
  it    50 steps     808,005 eval   1878.58 pop   1418.58 len  155.3 cap  512 trunc   0%     0.7k sps
  it    52 steps     850,084 eval   1806.68 pop   1511.26 len  165.9 cap  512 trunc   0%     0.7k sps
  it    54 steps     892,485 eval   1474.99 pop   1544.92 len  170.3 cap  512 trunc   0%     0.7k sps
  it    56 steps     934,926 eval   1717.02 pop   1507.06 len  166.2 cap  512 trunc   0%     0.7k sps
  it    58 steps     981,735 eval   2849.01 pop   1682.25 len  184.8 cap  512 trunc   0%     0.7k sps
  it    60 steps   1,028,515 eval   3150.01 pop   1692.49 len  185.7 cap  512 trunc   0%     0.7k sps
  it    62 steps   1,076,511 eval   1811.22 pop   1708.91 len  187.9 cap  512 trunc   0%     0.7k sps
  it    64 steps   1,124,958 eval   1746.85 pop   1722.11 len  189.6 cap  512 trunc   0%     0.7k sps
  it    66 steps   1,175,653 eval   2356.14 pop   1836.41 len  201.9 cap  512 trunc   1%     0.7k sps
  it    68 steps   1,231,768 eval   3817.58 pop   2028.39 len  222.2 cap  512 trunc   2%     0.7k sps
  it    70 steps   1,290,139 eval   3141.86 pop   2131.40 len  233.4 cap  512 trunc   1%     0.7k sps
